"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,s,s,s,
"GPU activities",99.999907,2.308022,1,2.308022,2.308022,2.308022,"generatePoints(unsigned long*, unsigned long, unsigned long)"
"GPU activities",0.000093,0.000002,1,0.000002,0.000002,0.000002,"[CUDA memcpy DtoH]"
"API calls",95.986661,2.308112,1,2.308112,2.308112,2.308112,"cudaMemcpy"
"API calls",3.784393,0.091000,1,0.091000,0.091000,0.091000,"cudaMalloc"
"API calls",0.210629,0.005065,1,0.005065,0.005065,0.005065,"cudaLaunchKernel"
"API calls",0.012323,0.000296,1,0.000296,0.000296,0.000296,"cudaFree"
"API calls",0.005187,0.000125,114,0.000001,0.000000,0.000052,"cuDeviceGetAttribute"
"API calls",0.000440,0.000011,1,0.000011,0.000011,0.000011,"cuDeviceGetName"
"API calls",0.000258,0.000006,1,0.000006,0.000006,0.000006,"cuDeviceGetPCIBusId"
"API calls",0.000041,0.000001,3,0.000000,0.000000,0.000001,"cuDeviceGetCount"
"API calls",0.000018,0.000000,1,0.000000,0.000000,0.000000,"cuDeviceTotalMem"
"API calls",0.000017,0.000000,2,0.000000,0.000000,0.000000,"cuDeviceGet"
"API calls",0.000013,0.000000,1,0.000000,0.000000,0.000000,"cuModuleGetLoadingMode"
"API calls",0.000011,0.000000,1,0.000000,0.000000,0.000000,"cudaGetDeviceCount"
"API calls",0.000010,0.000000,1,0.000000,0.000000,0.000000,"cuDeviceGetUuid"
